"index","przypadki","Arima_lag1","Arima_bc","Arima_auto"
388,185,432.29006493755,180.223371204782,434.346179128735
389,107,433.571040608673,176.197021690886,387.89327862838
390,233,406.402375678161,119.716245018561,327.620906023528
391,234,371.862077946433,279.979813268657,497.385609555665
392,251,407.116393373403,196.191531872861,385.515743976976
393,258,382.473686788769,248.501781501333,500.274571490049
394,290,376.055553722449,192.44240055211,430.611684622619
395,204,454.071204343624,270.638083462575,527.947842926648
396,151,486.591809558811,175.301206363519,366.358237408893
397,285,436.914791638476,216.525199592335,415.57907043705
398,366,389.561099467965,307.322091799118,512.674731470741
399,390,419.340614200985,364.361459003656,551.152206059167
400,349,407.84827806158,293.768375982466,579.411968964085
401,389,437.397965641355,288.096032643259,533.80607161326
402,324,528.703614350538,304.273924938225,618.902440117813
403,183,575.368752219827,313.471153667335,490.841079595652
404,406,523.236850093649,234.420957988795,417.933643836159
405,533,407.487184115751,546.496953024426,693.282024310402
406,510,462.51858564411,467.826903406634,659.103376206952
407,528,495.664330674705,461.80788191927,705.197430553892
408,530,477.77594124364,379.265759672431,712.966496130995
409,476,626.410681168883,450.585414480625,726.564384785129
410,269,697.201479623975,400.354715669675,664.590306467628
411,537,619.714166720422,356.99269059105,467.143300451073
412,767,479.781775995637,664.888919280127,875.206828438313
413,722,523.916245480774,742.131938552734,860.60337607958
414,652,585.347633722891,613.422434543472,891.333916184726
415,797,576.934089446074,540.705830173044,819.043487598038
416,540,720.316508414375,656.670370279661,1043.88202132479
417,363,898.400999249258,499.14796073621,611.278090520154
418,711,723.988813092779,488.999526990413,698.554171054536
419,882,511.057624875708,871.305284708243,969.576368588119
420,974,645.804172284717,849.912833708444,1002.66493845929
421,813,621.571795348063,821.721842411405,1147.94766204954
422,917,655.943918430728,633.059861510805,910.893802889233
423,643,864.180190752801,784.287111283797,1209.31733772784
424,421,1023.27616275041,598.781426857763,688.789121745703
425,975,842.256416111246,602.923278179672,780.100088586279
426,1234,525.395613043104,1163.66748512185,1268.49922369323
